,file,tiny,base,small,medium,large,original_text
0,test_audio/hi/clips/common_voice_hi_26033044.mp3,Karituya na karitu maare kupa hai,"Kharito ya, na, Kharito, Tomahre, Upa.",ख़िएदो या ना ख़िएदो तुमारे उपर हैं,कहरीदो या ना कहरीदो तुमारे उपर है।,ख़िदो या ना ख़िदो तुम्हारे उपर है।,ख़रीदो या न ख़रीदो तुम्हारे ऊपर है।
0,test_audio/hi/clips/common_voice_hi_26033045.mp3,Moi似乎 Oscar Nam batae.,मुजे बस वस का नाम बतापी,मुझे बस उसका नाम बताएई,मुझे बस उसका नाम बताईये।,मुझे बस उसका नाम बताईए,मुझे बस उसका नाम बताइए।
0,test_audio/hi/clips/common_voice_hi_26033052.mp3,"Tom vehicle, our career is over.",とも、 れども 本当に 恰恰。,तोम बलक्ल हमारी तरहे है,तुम बिल्कुल हमारी तरहे हैं।,ताउं बिल्कुल हमारी तरह हैं,टॉम बिलकुल हमारी तरह है।
0,test_audio/hi/clips/common_voice_hi_26033053.mp3,"Shushil Modi's appalad var. In Rasta 4K Semicchana gali, 9 mila ka janadeesh.","ششیل موتی کا پلٹ بار, دستہ چار کے سنگ چنگے لیے نہیں ملا کا جنہ دیش",शशील मोदिका पलटबार दस्टा चार के सन्वक चन गे लिए नहीं रहीं रहा ता जनादेश,सुशील मोदि का पलड़बार धस्तचार के सन्नक्छन के लिए नहीं मिला था जनादेश।,शुशील मोदी का पलटबार दस्ता चार के सन्नक्छन के लिए नहीं मिला था जनादेश,"सुशील मोदी का पलटवार, भ्रष्टाचार के संरक्षण के लिए नहीं मिला था जनादेश"
0,test_audio/hi/clips/common_voice_hi_26033054.mp3,tu maj jeq noi bada sakti,tu mge kyo nai bha na sakpi,तो मुझे क्यो नहीं बता सकती?,तुम मुझे क्यों नहीं बता सकती?,तुम मुझे क्यों नहीं बता सकती?,तुम मुझे क्यों नहीं बता सकती?
0,test_audio/hi/clips/common_voice_hi_26033055.mp3,"ta na bhanara ha, gilli keel logo ko, diabetes Kamaris","تنا بنا رہا, جلی کے لوگوں کو دائی بٹیس کماریز",तनाब बनारहा गिल्ली किल लोगों को दाईविटीस का मरीज,तनाब बना रहा दिल्ली के लोगों को डयविटीस का मरीस,तनाब बना रहा दिल्ली के लोगों को डयविटीस का मरीज,तनाव बना रहा दिल्ली के लोगों को डायबीटीज का मरीज
0,test_audio/hi/clips/common_voice_hi_26033056.mp3,"Ya, vahar, jishme me retha ka, jama jota ka.",یہ βہ گھر ہے جس میں میں رہتا تھا جب میں چھوٹا تھا,"यह वे गर है, जिस में में रहता था, जब में चोटा ता",ये वे घर है जिसमें में रहता था जब मैं चोटा था.,यह वह घर है जिस में मैं रहता था जब मैं छोटा था,यह वह घर है जिसमें मैं रहता था जब मैं छोटा था।
0,test_audio/hi/clips/common_voice_hi_26033062.mp3,Hambeom ko yana in chowra sakti.,hum tom ko yaha naig choo de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau de chau,अम तोम को यहा नहीं चोर सकते है,हम टोम को यहां नहीं छोड चकते हैं।,हम टॉम को यहाँ नहीं छोड़ चकते।,हम टॉम को यहाँ नहीं छोड़ सकते।
0,test_audio/hi/clips/common_voice_hi_26033063.mp3,Hojainmi Mahakal Gasulaket Abhishek,پو جن میں محقال کا سورتیت اوشیق,उज्यन में महाकाल का सुरचित अविषेक,उज्जैन में महाकाल का सुरक्चित अभिषेग,उज्यन में महाकाल का सुरक्षित अभिशेक,उज्जैन में महाकाल का सुरक्षित अभिषेक!
0,test_audio/hi/clips/common_voice_hi_26033064.mp3,We have been on the limit of the minimum. You will have to ask your question.,"Vihar, bina helmet groom rahat tha, police wala ilgak ne puchat to hoga yadda",विहार बिना हल्मेद गूम रहाता पूलिस वाला योगकने पूचा तो होगा ज़डब,विहार बिन्ना हेलमेट गोंग रहा था पूल्जवाला यॉवक ने पूचा तो हो गई ज़डब,विहार बिना लिए लिए पुल्स वाला गूँँ रहा था ये वक ने पूछा तो हो गई जड़ब,"बिहार: बिना हेलमेट घूम रहा था पुलिसवाला, युवक ने पूछा तो हो गई झड़प"
0,test_audio/hi/clips/common_voice_hi_26033065.mp3,This is your Kitab.,यह कितावें तो मारी है?,यह किताबें तुमारी है,ये किताबिं तुमारी हैं।,ये किताबें तुमारी हैं?,ये किताबें तुम्हारी हैं।
0,test_audio/hi/clips/common_voice_hi_26033066.mp3,I have a master khatha.,میں باستہ کھا تا ہوں,मैं पास्टा काता हूँ,मैं पास्ता खाता हूँ।,मैं पास्टा खाता हूँ,मैं पास्ता खाता हूँ।
0,test_audio/hi/clips/common_voice_hi_26033067.mp3,Ms. Trilakta Re.,Mr.Rilakta hai,मिस्त्री लखता है,मिस्त्री लक्ता हैं,मिस्त्री लगता है।,मिस्री लगता है।
0,test_audio/hi/clips/common_voice_hi_26033068.mp3,Nitaniyati hash daskar koosti medilaaya pai wa swan.,Gita ni etiash tashkar kusti me dila ya paakta suarun,गीता ने एटियाश तच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्,गीता ने इतिहाश तचकर खुस्ती में दिलाया पाच और सुर्ण।,गीता ने इतिहाश रचकर खुस्ती में दिलाये पाच्वा स्वर्ण।,गीता ने इतिहास रचकर कुश्ती में दिलाया पांचवां स्वर्ण
0,test_audio/hi/clips/common_voice_hi_26033069.mp3,"Meha, I had to do kis karnaat. And I had to do kis karnaat.",میںہ مجھے کس کرنا چاہتا ہے اور میری کس کرنا چاہتی ہوں,मैं मुझे किस करना चाता है और मैंगे उपसे किस करना चाती हो,वह मुझे किस करना चाता है और में वी तो से किस करना चाती हूँ।,"मैं मुझे किस करना चाहता है, और मैं भी उसे किस करना चाहती हूँ।",वह मुझे किस करना चाहता है। और मैं भी उसे किस करना चाहती हूँ।
0,test_audio/hi/clips/common_voice_hi_26033070.mp3,Shaheen Sunnivajitna vis Ajimda visi esh.,چھاہ سونا جتنا بھی اریم لگے یہ سچ ہے,"चाहे सुन्ने में जितना भी अजीम लगे की है, सच्छ है",चाहें सुनने वो जितना भी अजीब लगेगी है सच है।,चाहे सुन्नेव जितना भी अजीम लगे की है सच्छ है।,"चाहे सुनने में जितना भी अजीब लगे, यह सच है।"
0,test_audio/hi/clips/common_voice_hi_26033071.mp3,Relakaini for jayangu,پہلے کائیں گے پھر جائیں گے,पहले काएंगे फिर जाएंगे,पहले खाइंगे फिर जाइंगे।,पहले खाईंगे फिर जाएंगे,"पहले खाएंगे, फिर जाएंगे।"
0,test_audio/hi/clips/common_voice_hi_26033084.mp3,"cinema,出的電ci sambal",سیدمہ شد دیسی سمباد,सिनेमा शुद्त देशी समबाद,चुठ देसी संभाद,"cinema, ॐ।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।",सिनेमा-शुद्ध देसी संवाद
0,test_audio/hi/clips/common_voice_hi_26033085.mp3,"Me 2nd floor, let's go to Punjanta.",میں 2<|vi|><|translate|>,मैं तोनो लड़क्यो को जानता हूं,मैं दोनो लड़कियों को जानता हूं।,मैं दोनो लड़कीओ को जानता हूं।,मैं दोनों लड़कीयों को जानता हूँ।
0,test_audio/hi/clips/common_voice_hi_26033088.mp3,"In Rani Neemana, Shina Khenatya Vipur Maksat Ka Kulasa Neem.","ان்பராணی نے மானா, Shina کی ہتیہ ہوئی پر مگسٹ کا خلاسہ نہیں.",इंद्रानी ने माना शीना के हत्या होई पर मक्सब का खुलासा नहीं,"इंद्रानी ने माना, शीना की हत्या हुई पर मकसत का खुलासा नहीं.","इंद्रानी ने माना, शीना की हत्या हुई पर मकसत का खुलासा नहीं",इंद्राणी ने माना- शीना की हत्या हुई पर मकसद का खुलासा नहीं
0,test_audio/hi/clips/common_voice_hi_26033090.mp3,Pandabala Kath Kudipsa Milleta Hongani,پاندہ بلکہ کیڑت سے ملے تھا حلکانی,पान्दा बलत्काद पीटिप से मिलें ताहुट गान्दी,पान्दा बलत्कात पीटिट से मिले रहुल गान्दी,पांदा बलतकात पीटिब से मिले रहूल कांदी,बांदा बलात्कार पीड़ित से मिले राहुल गांधी
0,test_audio/hi/clips/common_voice_hi_26033096.mp3,"Now, what are your benefits?",آپ کیا پہنے باہلے ہیں,आप क्या पहन्ने बाले हैं?,आप क्या पहनने बाले हैं?,आप क्या पहने बाले हैं?,आप क्या पहनने वाले हैं?
0,test_audio/hi/clips/common_voice_hi_26033097.mp3,"First look text of Hindustan me, for the book Karol Karangay Bikbih.",فسٹ لگ تکسکف حندستان میں خوضہ بچ کرول کریں گے بگ بی,तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो �,फस्क लुक थक्स औप हिंदुस्तान में खुड़ा बक्ष का रोल करेंगे बिग बीड।,"First Look, Thugs of Hindustan mein Khuda Baksh ka role karenge Big B",First look: 'ठग्स ऑफ हिन्दोस्तान' में खुदाबख्श का रोल करेंगे बिग बी
0,test_audio/hi/clips/common_voice_hi_26033098.mp3,"Till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till now, till",चलगता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता वाद्ता,दड़क्तर अग करन्ट से ज्र्सा बच्च्चा मंत्रिजी की शान में दोड्टी रही आम्बूलेंस,"दडबता राग करन्ट से जुल्सा बच्चा, मंत्रिजी की शान में दोर्टी रही एम्बुलेंस।","तड़पता राकरंट से जुल्सा बच्चा, मन्तरी जी की शान में दौती रही एम्बुलेंस","तड़पता रहा करंट से झुलसा बच्चा, मंत्री जी की शान में दौड़ती रही एंबुलेंस"
0,test_audio/hi/clips/common_voice_hi_26033099.mp3,Tom Nik Koth Kyo Kahina Head,کامник کٹ کیو پہنہ ہے,तोम ने खोड क्यो पहना है?,तॉम ने कोट क्यो पहना है?,टॉम ने कोट क्यों पहना है?,टॉम ने कोट क्यों पहना है?
0,test_audio/hi/clips/common_voice_hi_26033101.mp3,"Punjab, India Supermaetani Nehul Kikadi, Hatsai Karshekar.","Punjab, Vrdaaspur Meesani Dehol Ki Gadi, Hatse Ka Shikar",पन्जाँ वुर्दास्पर में सनी देवल की गाडी रापसे का शिकार,पंजाब। गुर्दासपुर में सनी देवुल की गाडि आजसे का शिकार।,पंजाब गुर्दासपुर में सन्नी देउल की गाडी हाथसे का शिकार,पंजाब: गुरदासपुर में सनी देओल की गाड़ी हादसे का शिकार
0,test_audio/hi/clips/common_voice_hi_26033111.mp3,Po se pea sonki de ru la te.,پو سے پیسوں کی ضرورت ہے,उसे पैसों की जरुरग है,उसे पैसों की ज़रूरत है।,उसे पैसों की ज़रूरत है।,उसे पैसों की ज़रूरत है।
0,test_audio/hi/clips/common_voice_hi_26033112.mp3,Veetu Maharaj Timalkar Raheem,ve tu maha ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla ra lla,वे तुमारा इस्तिमाल कर रही हैं,वे तुमारा इस्तिमाल कर रही हैं।,वे तुमारा इस्तिमाल कर रहे हैं,वे तुम्हारा इस्तेमाल कर रहे हैं।
0,test_audio/hi/clips/common_voice_hi_26033113.mp3,Ammi Baria.,Abh maini vaadi hai,अब मेरी बारी है,अब मेरी बारी है।,अब मेरी बारी हैं,अब मेरी बारी है।
0,test_audio/hi/clips/common_voice_hi_26033114.mp3,Yangal Bautha Naya.,یا انگل بہت گنا نم,जंगल बहुत गना हैं,जंगल बहुत गना हैं।,जंगल बहुत गना हैं,जंगल बहुत घना है।
0,test_audio/hi/clips/common_voice_hi_26033115.mp3,"whose ka lemma vashad sunken, tham sub boor ho bai","اس کا λمبہ واشت سنکل, ہم سب بور ہو گئی","उसका लंबा बाश़़ सूनकर, हम सब भोर होग़ा है",उसका लम्बा भाशण सुनकर हम सब बोर हो गए हैं।,उसका लम्बा भाषण सुनकर हम सब बोर हो गए।,उसका लम्बा भाषण सुनकर हम सब बोर हो गए।
0,test_audio/hi/clips/common_voice_hi_26033141.mp3,Ching Pakistan te jara Ching tak akarad kushil,"چین پاکستان سے جارا چینتا کا کارہاں, کشین","चीन पाकिस्तान ते जाड़ चिंटा का कारण, क्रिषीन","चीन पाकिस्तान से जाद चिन्ता का कारण, खुशीन","चीन पाकिस्तान से जादा चिन्ता का कारण, कुशील","चीन, पाकिस्तान से ज्यादा चिंता का कारण: खुर्शीद"
0,test_audio/hi/clips/common_voice_hi_26033142.mp3,Sukuna Goetana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goatana Goat,سکنا گٹانا گوہٹی میں کوٹ ماشری کا سامنہ کریں اب ہنش پر کاش,सुक्ना गोताला गूहाती में कोट माशरी का सामना करेंगे अब भिश प्रकाश,सुक्ना गोताला गौटी में कोट माश्टर का सामना करेंगे अब देश प्रकाश,।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।।,सुकना घोटालाः गुवाहाटी में कोर्ट मार्शल का सामना करेंगे अवधेश प्रकाश
0,test_audio/hi/clips/common_voice_hi_26033144.mp3,"So, amthar, parkit ne bhaji kamse chutee.",تو عامتور پر کتنے بجی کام سے چھوٹھے ہو,तो आम तो और पर किने बजी काम से चुटके हो,तुम आमतुर पर कितने बढ़ी काम से चूटते हों।,तुम आमतौर पर कितने बड़े काम से छूटते हो?,तुम आमतौर पर कितने बजे काम से छूटते हो?
0,test_audio/hi/clips/common_voice_hi_26033150.mp3,<|hi|>-19BU is per justice.,اس کی نیٹوبی اس پر جستی ہے,उसकी नइटो की उस पर ज़जती है,उसकी नही तोबी उस पर जटी हैं।,उसकी नई टोबी उसपर जस्ती हैं,उसकी नई टोपी उसपर जँचती है।
0,test_audio/hi/clips/common_voice_hi_26033166.mp3,"Sanyaud praastrami hui, Krishna or Kuresi inadrichaar.","سنیو پر آسٹر میں ہوئی, крышنا اور قرآسی کی ندرچ آئے",सच्युग प्रास्टर में हुई क्रश्ना और कुरेशी की नद्रे चार,सञ्युक्त रास्थर में होई क्रश्ना और कुरैसी की नद्रे चार,संइज्छ रास्त्र में हुई क्रिष्णा और कुरैसी की नज्रे चार,संयुक्त राष्ट्र में हुईं कृष्णा और कुरैशी की नजरें चार
0,test_audio/hi/clips/common_voice_hi_26033170.mp3,We will talk about a little bit for a little while.,ہم نے thoti dher ke liye ke kdo se ke saat mbaut kari,अमने तोड़ी भेर के लिए एक तुस्रे के साथ बाट करी.,हमने थोड़ी देर के लिए एक दुसरे के साथ बात करी।,हमने थोड़ी देर के लिए एक दूसरे के साथ बात करी,हमने थोड़ी देर के लिए एक-दूसरे के साथ बात करी।
0,test_audio/hi/clips/common_voice_hi_26033174.mp3,"te lang ganan, maasum ba cheko agwakad, ferotime mangi premi ka",تیلنگا نن، ماصوم بچے کو عگوہ کتھ، پیروتی میں مانگی پریمی کھا,"तेलंगानाग, मासुम बच्चे को अग्वाखर फिरोती में मांगी प्रेमिका",तेलंगाना प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेमिका प्रेम,तेलंगाना मासुम बच्चे को अग्वाकर फिरोती में मांगी प्रेमी का,तेलंगानाः मासूम बच्चे को अगवा कर फिरौती में मांगी प्रेमिका
0,test_audio/hi/clips/common_voice_hi_26033177.mp3,Muslim yukkogi gertari per lalu mesada eti shparnishana,مسلم یکوں کی گئر تاری پر لالوں نے سادہ دیش پر نشانہ,मुस्लम यूएगों की गर्ठारी पर लालों लिज्सादा इदीश पर निशाना,मुस्लिम यूपकों की गिरपतारी पर लालू ने सादा रिदीश पर निशाना,مسلم یوکوں की گرفتاری پر لالوں نے سادہ ہدیش پر نشانہ,मुस्लिम युवकों की गिरफ्तारी पर लालू ने साधा नीतीश पर निशाना
0,test_audio/hi/clips/common_voice_hi_26033179.mp3,2 minikan 2 garadra chipo spaini me reppu ballika 2 minikana kate.,"2 MINUTES IN RG, SPANY, RAPU BALLICA 2 MINUTES IN RG.",दोमिनिका इंद्रगन्राज्जि को स्पेनी में रेपुबलिका डोमिनिकाना कहते है,दोमिनिका इंड्रगन्राज्य को स्पेनी में रेपू बलिका दोमिनिकाना कहते हैं।,বেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরেরের,"डोमिनिकन गणराज्य को स्पेनी में ""रेपुबलिका डोमिनिकाना"" कहते है।"
0,test_audio/hi/clips/common_voice_hi_26033186.mp3,Myrukhal ka bokalu which is the place where the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of the house of,میرு کال کا وہ کانون جس نے دھرمکم بندھا تھور کر بھیا شادیگہ حکھ,नेरु काल का बूकानूं जिसने दर्म का बंदन तोड कर दिया शादी का हक.,नेरुकाल का वो कानून जिसने धर्म का बन्दन तोड़ कर दिया शादि का हक।,नहरुकाल का वो कानून जिसने धर्म का बंदन तोड़ कर दिया शादी का हक,"नेहरू काल का वो कानून, जिसने धर्म का बंधन तोड़कर दिया शादी का हक"
0,test_audio/hi/clips/common_voice_hi_26033187.mp3,you go online and you will have to do that.,"اپکு LINE MILLAKAR, اگه جار کرنا پڑے گا",अपको लाईन में लगक्कर इदेजार करना बड़िएपा,आपको लाइन में लग कर इठार करना पड़ेगा।,आपको लाइन में लगकर इतिटिजार करना पड़िबा,आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।
0,test_audio/hi/clips/common_voice_hi_26033188.mp3,"Injal figure, Islam's chaathe Khalifa, Hajjrathe Khali ki macho talvati.",جلفی کر اسلام کے چاہتے خلیفا حجردی خلی کی مشوطلواتی,जुल्फिकर अस्लाम के चोथे कहलीपा हज्रती अलीकी मशोड तल्वार थी,"जुल्फिकर् इस्लाम के चौथे खलीफा, हज्रती अली की मशोर तल्वार थी।",جُلفِکر، اسلام کے چوثے خلیفہ، حجردی علی کی مشہور تلوار تھی,"ज़ुलफ़िकर इस्लाम के चौथे खलीफ़ा, हज़रती अली की मशहूर तलवार थी।"
0,test_audio/hi/clips/common_voice_hi_26033189.mp3,"4. Javi Hud, I Kavee, I will not let my friends go.",چاہیں جو ہوں میں کبھی بھی اپنے دوست کا دوکہ نہیں دوست,"चाहे जोवी हो, मैं कभी भी अपने दोस को दूका नहीं दूंगा.","चाहें जोवी हो, मैं कभी भी अपने दोज़ को दुका नहीं दूँगा।","चाहे जो वी हो, मैं कभी वी अपने दोस्त को दोका नहीं दूँगा।","चाहे जो भी हो, मैं कभी भी अपने दोस्त को धोखा नहीं दूँगा।"
0,test_audio/hi/clips/common_voice_hi_26033190.mp3,желat mesimike hum leki chitao min.,مجرد میں شمی کے حملے کی چیتا ہمی,विज्रात मेश्मी के हमले की चेतावनी,बुज्रात मेसिमी के हम्ले की चिता बनी,विज्रात मेशिमी के हमले की चेताब नहीं,गुजरात में सिमी के हमले की चेतावनी
0,test_audio/hi/clips/common_voice_hi_26033191.mp3,Here we are with Berts.,یہاں بیٹ ساتھے ہیں,यहां बेर्ट चाथते हैं,यहां बैट साते हैं,यहां बैट जाते हैं,यहाँ बैठ जाते है।
0,test_audio/hi/clips/common_voice_hi_26033192.mp3,Mehmeti produce me reddai.,میںے میری پڑوز میں رہتا ہے,मैं मेरे पडोस मेरेटा है,महें मेरे पढोस में रहता है।,मैं मेरे पड़ोस में रहता है।,वह मेरे पड़ोस में रहता है।
0,test_audio/hi/clips/common_voice_hi_26033193.mp3,I think I will say it.,Messing up with Sehu,मैं सिंगापोर से हूँ,मैं सिंगापुर से हूँ,मैं सिंगापुर से हूँ,मैं सिंगापुर से हूँ।
0,test_audio/hi/clips/common_voice_hi_26033194.mp3,"Shahet Mira ka, coffee with karanmeet domans.",شاہید میرا کا کافی بھیت کرر میں دومانز,"शाहिद मीरा का, कोफी विद्करन में रोमान्स",शाहिद मीरा का कौफी विद करन में रोमान्स,शाहिद मीरा का कॉफी विद करन में रोमान्स,शाहिद-मीरा का 'कॉफी विद करण' में रोमांस
0,test_audio/hi/clips/common_voice_hi_26033200.mp3,Where can I find my food? Mayse would have had chani.,بہyا کانا کانے کے بعد میں سے اٹھ کر چاہی گئی,बहाँ खाना काने के बाज मेज से उटकर चली गएं,वह खाना खाने के बाद मेज से उटकर चली गई।,वह खाना खाने के बाद मेज से उठकर चली गई।,वह खाना खाने के बाद मेज़ से उठकर चली गई।
0,test_audio/hi/clips/common_voice_hi_26033201.mp3,"Mumbai, Vuri Valley or Virak, which real seva samanya?","Mumbai, Bhojwari Bally & Virar Ke Bihil Seva Saman",मुमबाई भूरीबली और विरार के भीज्रेल सेवा सामान है,मुम्भाई बोरीबली और विरार के बीच रेल सेवा सामान हैं,"मुम्बै, बोरी बली और विरार के बीच रेल सेवा सामान हैं",मुंबई: बोरीवली और विरार के बीच रेल सेवा सामान्य
0,test_audio/hi/clips/common_voice_hi_26033202.mp3,Anushka's binapuri noi multisan du. Jane kiska di ba raheerol.,Anushka ke binaa kuri na hi hoti sallu Jaanik kiska dibar hai hai hai roll,"अनुश्का के बिना कुरी नहीं होती सन्दू, जाने किसका निवा रही है, रोल।","अनुश्का के बिना पूरी नहीं होती संजु, जाने किसका निभा रही हैं है रोल।",अनुशका के बिना पूरी नहीं होती संजू जाने किसका निभा रही है रोल,"अनुष्का के बिना पूरी नहीं होती 'संजू', जानें किसका निभा रही हैं रोल"
0,test_audio/hi/clips/common_voice_hi_26033203.mp3,"а you don't get me, why you work?","آپ tome ke liy,you karm kare hai",आप तोम के लिए क्यो काम कर रहे है?,आप टोम के लिए क्यों काम कर रहे हैं?,आप टॉम के लिए क्यों काम कर रहे हैं?,आप टॉम के लिये क्यों काम कर रहे हैं?
0,test_audio/hi/clips/common_voice_hi_26033204.mp3,Here is the relation of this.,یہ ریشام جیسا لکٹا ہے,यह रेशम जैसा लखता है,यह रेशम जैसा लगता हैं।,यह रेशम जैसा लगता हैं,यह रेशम जैसा लगता है।
0,test_audio/hi/clips/common_voice_hi_26033215.mp3,"IPLs if it nays for asset product, GUNI",IPS' FitNace for Asapara Dhoni,अईपियाश ये पिटनेश पर असर पडा दोनी,IPS फिटनेस पर असर पड़ा धुनी,IPL से फिटनेस पर असर पड़ा धोनी,आईपीएल से फिटनेस पर असर पड़ा: धोनी
0,test_audio/hi/clips/common_voice_hi_26033216.mp3,MCDKana Akira Abhayak Chatiya Dindi Giyanda.,"MCD QNAM, Akira Abhyaq Chatiya, Dindi Gejanta",अखर अग चाति है दिल्ली की जन्दा,MCD चुनाब आखिर अभ क्या चाहती है दिल्ली की जन्दा?,MCD चुनाब आखिर अब क्या क्छाहती है दिल्ली की जंता है,एमसीडी चुनाव: आखिर अब क्या चाहती है दिल्ली की जनता
0,test_audio/hi/clips/common_voice_hi_26033217.mp3,What is your name?,کیا پہنے والے ہو?,या पहने वाले हूँ,क्या पहनने वाले हु?,क्या पहने वाले हो?,क्या पहनने वाले हो?
0,test_audio/hi/clips/common_voice_hi_26033218.mp3,а you have to understand.,آپ یہاں آنہ پسند کرتے تھے,आप यहा आना पसंट करते ते,आप यहां आना पशन्त करते थे?,आप यहाँ आना पसंद करते थे?,आप यहाँ आना पसंद करते थे।
0,test_audio/hi/clips/common_voice_hi_26033219.mp3,Kutte gochak se figne balli medical chattra pojaman kolye se suspein,Khutte gochat se fignne mali medical chatra ko jamana college se suspend,खुट्ते गुछ़्ष्ठ्ठ्ठे फेगने बाले मेटिकल चात्राप पुजवाना खुले से सस्पिण्ट,कुट्ते गो चट से फेखने बाले मेडिकल चात्रों को जमाना कौलेज से सशपेंड।,"खुत्ते गो चठट से फेखने बाले मेडिकल चात्रों को जमाना, कौलेस से सस्पेंड","कुत्ते को छत से फेंकने वाले मेडिकल छात्रों को जमानत, कॉलेज से सस्पेंड"
0,test_audio/hi/clips/common_voice_hi_26033225.mp3,Keep neck above lo way.,Kibne ka baam logei,किदने कबाब लोगे,किड़ने कबाब लोगे हैं।,किबने कबाब लो गे?,कितने कबाब लोगे?
0,test_audio/hi/clips/common_voice_hi_26033226.mp3,Me ni ni puli nehopadi.,میری نیر پوری نہیں ہوا پادی,मेरी नीम पूरी नहीं हो पातिख,मेरी नीन पूरी नहीं हो पाती।,मेरी नीद पूरी नहीं हो पाती,मेरी नींद पूरी नहीं हो पाती।
